iter	Passed	Remaining
0	10	10585
1	21	10510
2	31	10449
3	41	10430
4	53	10570
5	63	10541
6	74	10500
7	84	10514
8	95	10488
9	105	10471
10	116	10452
11	126	10444
12	137	10445
13	148	10444
14	158	10427
15	169	10403
16	179	10367
17	189	10356
18	200	10336
19	211	10347
20	221	10330
21	232	10321
22	242	10309
23	253	10298
24	263	10279
25	274	10284
26	285	10278
27	296	10280
28	306	10269
29	317	10256
30	327	10228
31	337	10215
32	347	10189
33	358	10196
34	369	10179
35	379	10170
36	390	10170
37	401	10155
38	411	10143
39	422	10134
40	433	10145
41	444	10140
42	455	10128
43	465	10111
44	475	10093
45	486	10083
46	497	10077
47	507	10074
48	518	10065
49	528	10046
50	539	10037
51	549	10022
52	561	10024
53	571	10009
54	582	10001
55	593	10001
56	603	9989
57	614	9973
58	624	9967
59	635	9960
60	646	9951
61	656	9938
62	667	9931
63	678	9923
64	688	9908
65	699	9893
66	709	9879
67	719	9865
68	730	9855
69	741	9848
70	751	9833
71	761	9820
72	772	9811
73	783	9802
74	793	9792
75	804	9783
76	815	9769
77	825	9760
78	836	9750
79	846	9738
80	857	9729
81	868	9718
82	878	9709
83	889	9705
84	900	9695
85	911	9685
86	922	9676
87	932	9663
88	943	9657
89	954	9646
90	965	9642
91	975	9628
92	986	9622
93	997	9614
94	1007	9600
95	1018	9586
96	1028	9575
97	1039	9564
98	1049	9551
99	1059	9536
100	1070	9525
101	1080	9510
102	1090	9497
103	1100	9484
104	1111	9474
105	1122	9464
106	1133	9456
107	1144	9453
108	1155	9442
109	1166	9434
110	1176	9426
111	1187	9413
112	1197	9401
113	1207	9388
114	1218	9376
115	1228	9363
116	1239	9352
117	1249	9341
118	1260	9332
119	1271	9323
120	1281	9308
121	1291	9297
122	1302	9290
123	1313	9278
124	1324	9270
125	1335	9263
126	1346	9252
127	1356	9240
128	1366	9226
129	1377	9215
130	1387	9205
131	1398	9193
132	1408	9184
133	1419	9174
134	1430	9163
135	1440	9151
136	1451	9140
